start_time,end_time,location,gallons
5/23/23 15:25,5/23/23 19:19,west,145000
6/1/23 12:16,6/1/23 18:45,west,67300
6/26/23 9:31,6/26/23 16:02,west,89400
7/17/23 8:04,7/17/23 16:04,west,120900
8/5/23 8:48,8/5/23 14:56,west,98500
8/24/23 13:47,8/24/23 18:16,west,60250
9/21/23 9:07,9/21/23 16:09,west,75300
5/24/23 9:25,5/24/23 13:19,east,146600
6/2/23 15:43,6/2/23 22:12,east,67500
6/14/23 8:25,6/14/23 17:29,east,128200
6/27/23 7:53,6/27/23 16:14,east,135700
7/7/23 7:46,7/7/23 15:46,east,128500
7/17/23 19:19,7/17/23 5:53,east,160900
7/27/23 10:00,7/27/23 17:29,east,50400
8/5/23 8:51,8/5/23 11:03,east,36600
8/10/23 13:57,8/10/23 19:37,east,105700
8/24/23 13:47,8/24/23 18:16,east,60250
9/7/23 7:38,9/7/23 18:19,east,157700
9/22/23 7:20,9/22/23 16:18,east,144600