year,date,start_timestamp,end_timestamp,strip_group,location,gallons,notes
,5/23/23,5/23/23 15:25,5/23/23 19:19,S1_S2,west,145000,STRIP 1 NEVER REALLY RAN OFF END OF FIELD AND YOU COULD WALK ON HILLS. STRIP 2 RAN OFF END OF FIELD IN ABOUT 1.5 HOURS INTO WATERING AND FURROWS AND HILLS WERE COMPLETELY FLOODED. SOME WATER FROM STRIP 1 RAN OFF ONTO SRI'S FIELD.
,5/24/23,5/24/23 9:25,5/24/23 13:19,S3_S4,east,146600,STRIP 4 WAS LOSING WATER TO NE CORNER OF FIELD AND DIDN’T WATER ABOUT 2-3 FURROWS WEST FROM EAST SIDE. STRIPS 3 & 4 WERE RUNNING ONTO STRIP 2 AS WELL. WATER MOVEMENT WAS S-SW.
,6/1/23,6/1/23 12:16,6/1/23 18:45,S1_S2,west,67300,"STARTED WATER AT 11:16AM NOTICED WATER STOPPED AT 2:07PM FOR UNKNOWN AMOUNT OF TIME. THE CANAL VALVE WAS OFF SO WATER WAS NOT FLOWING IN SYSTEM. TURNED ON AGAIN AT 3:07 PM AND FINALLY OFF AT 6:45 PM. ONLY A TINY BIT OF WATER AT THE VERY END RAN ONTO SRI'S FIELD, SHOULD NOT BE AN ISSUE. ALL BERMS WORKED GOOD. AT 2:10PM, WATER IS BARLEY PAST S1B WHEREAS S2B IS FLOODED WELL PAST IN ALL FURROWS."
,6/2/23,6/2/23 15:43,6/2/23 22:12,S3_S4,east,67500,"WATER WAS CLEAN COMING OUT OF PIPE. FIELD IS GOOD AND SATURATED. THERE WAS NO SIDE MOVEMENT OF WATER, WATER RAN DOWN RESPECTIVE FURROWS SO 1&2 WERE NOT INFLUENCED FROM THIS WATERING UNLIKE THE FIRST WATERING."
,6/14/23,6/14/23 8:25,6/14/23 17:29,S3_S4,east,128200,"4B FURROWS ARE WET, HILLS ARE PARTIALLY DRY/WET. BOTTOM OF 3&4 ARE WET. WATER REACHED EXTREME SOUTHEAST PORTION OF CATCH DITCH. AT 2:13PM JERRY AND BILL ADJUSTED GATES SO THAT EAST END OF GATES ARE FLOWING. THEY WERE FLOWING AT THE START OF WATERING BUT FLOW REDUCED OVER TIME AND THEY STOPPED AT SOME POINT."
,6/26/23,6/26/23 9:31,6/26/23 16:02,S1_S2,west,89400,"S1B AND S2B FURROWS ARE SOAKED. FIELD APPEARED TO BE EVENLY WATERED. PIPE IS LEVEL, GATES ADJUSTED TO THUMBWIDTH OPENING AS USUAL. JIMMY NEEDED WATER OFF BY 4:30PM (HE CALLED) SO THEY COULD SET WATER ONTO ANOTHER FIELD FOR WATERING OVERNIGHT. COULD NOT WATER ON SUNDAY AS JIMMY AND PERRY SAID THERE WAS SOME WATER ISSUES (LEAKS) ON FRIDAY SO THEY ARE BEHIND WATERING SCHEDULE. VISUALLY STRIP 2 LOOKS DRY AND IS NOT AS GREEN OR THICK AS STRIP 1."
,6/27/23,6/27/23 7:53,6/27/23 16:14,S3_S4,east,135700,VISUALLY STRIP 3 APPEARS MORE GREEN AND THICK THAN STRIP 4. WATER REACHED END OF FIELD. THE AREA AROUND S4B SENSORS IS MOIST BUT AREA WHERE WIRES DIVE INTO GROUND IS DRY. WATER WAS EVENLY DISTRIBUTED IN PIPE AND FURROWS.
,7/7/23,7/7/23 7:46,7/7/23 15:46,S3_S4,east,128500,"LINEAR SPRINKLER AND SRI WERE WATERING FIELD. AFTER SRI STARTED HIS WATER IT MOST CERTAINLY DECREASED OUR FLOW RATE ON N1. WATER WAS UNIFORM AND EVEN, REACHED BOTTOM OF S3 AND S4. AIR VENT LEAKING NEAR SE CORNER OF FIELD."
,7/17/23,7/17/23 8:04,7/17/23 16:04,S1_S2,west,120900,"VISUALLY ALL APPEAR MOSTLY DRY, ALTHOUGH 3 LOOKS THE BEST FOLLOWED BY 4, THEN 1 AND THEN 2. S2M HAS LOTS OF HORSETAIL WEEDS SURROUNDING IT. BILL AND I DISCUSSED SPRAYING FIELD WITH HERBICIDE SOON."
,7/17/23,7/17/23 19:19,7/18/23 5:53,S3_S4,east,160900,STARTED WATER IN EVENING AND WATERED OVERNIGHT.
,7/27/23,7/27/23 10:00,7/27/23 17:29,S3_S4,east,50400,STARTED WATER AFTER MOWING STRIPS 3&4. FLOW DROPPED PRIOR TO LEAVING SO I OPENED GATE VALVE EVEN MORE TO INCREASE FLOW BACK TO 200 GPM. JIMMY CALLED AT 4:13 PM TO LET ME KNOW HE SHUT OURS DOWN SO THEY COULD WATER OTHER FIELDS. THIS WAS AFTER CONFIRMING THIS DAY WAS A GOOD DAY TO WATER. LOTS OF RAIN 7/31-8/2.
,8/5/23,8/5/23 8:48,8/5/23 14:56,S1_S2,west,98500,WATERED SIMULTANEOULSY WITH STRIPS 3&4 FOR A PORTION OF THE MORNING. DOUBLE CHECK NUMBERS AT END OF TRIAL. WATERED EVENLY DOWN TO END OF FIELD.
,8/5/23,8/5/23 8:51,8/5/23 11:03,S3_S4,east,36600,"JIM AND PERRY CALLED ABOUT 10AM AND SAID LINEAR SYSTEM SHUT OFF. MAY OR MAY NOT BE DUE TO WATERING BOTH FIELDS AT ONCE. PERRY SAID LINEAR LIKELY SHUT OFF IN MIDDLE OF NIGHT SO PROBABLY NOT. BUT I TURNED OFF STRIPS 3&4 ANYWAYS. VISUALLY, EAST SIDE OF STRIP 4 IS DRY DUE TO FLOWS DROPPING DURING PREVIOUS WATERINGS. THIS AREA DIDNT GET SOAKED AGAIN DUE TO HAVING TO TURN OFF WATER PREMATURELY."
,8/10/23,8/10/23 13:57,8/10/23 19:37,S3_S4,east,105700,HOLLY STARTED THE WATER AND I TURNED IT OFF. EAST HALF OF STRIP 4 GOT SOME WATER BUT STILL NOT GREAT WATERING. IVE DETERMINED WATER IS LEAKING NEAR THE GATED PIPE TRAVELING  BACK UP AND THEN DOWN OTHER FURROWS. I STARTED MOVING DIRT TO CORRECT THIS ON 8/16/23
,8/24/23,8/24/23 13:47,8/24/23 18:16,S1_S2,west,60250,"WATERED SIMULTANEOULSY WITH STRIPS 3&4. DOUBLE CHECK NUMBERS AT END OF TRIAL. STARTED WATER AFTER DIRTWORK, FIELD NOT LEAKING, FURROWS FILLING MUCH BETTER."
,8/24/23,8/24/23 13:47,8/24/23 18:16,S3_S4,east,60250,"WATERED SIMULTANEOULSY WITH STRIPS 3&4. DOUBLE CHECK NUMBERS AT END OF TRIAL. STARTED WATER AFTER DIRTWORK, FIELD NOT LEAKING, FURROWS FILLING MUCH BETTER."
,9/7/23,9/7/23 7:38,9/7/23 18:19,S3_S4,east,157700,"LONG WATERING, FURROWS FULL OF WATER ALL THE WAY TO END AND IN EASTERN-MOST FURROWS."
,9/21/23,9/21/23 9:07,9/21/23 16:09,S1_S2,west,75300,FLOW WAS NOT ENOUGH TO WATER ALL STRIPS AT SAME TIME DUE TO SRI WATERING HIS FIELDS AT THE SAME TIME.
,9/22/23,9/22/23 7:20,9/22/23 16:18,S3_S4,east,144600,WATER VALVE OPENED QUITE A WAYS TO ACHIEVE EVEN 200 GPM. OTHER FIELDS LIKELY DRAWING FLOWS. WOULD NOT GO ABOVE 200 GPM. INCREASE IN FLOW RATE MEANS SOMEONE ELSE TURNED WATER OFF DURING THIS WATERING SESSION.
,4/19/24,4/19/24 14:14,4/19/24 21:33,S3_S4,east,109750,"Flow meter was restricted due to a pack rat nest, thus no data is available. All data estimated. Flushed pipes prior to irrigation and removed rat nests from both ends of gated pipes."
,4/20/24,4/20/24 10:11,4/20/24 17:54,S1_S2,west,125900,Repaired meter prior to watering.
,5/3/24,5/3/24 8:37,5/3/24 15:28,S3_S4,east,89200,Some HOBO sensors did not get submerged in water.
,5/11/24,5/11/24 6:55,5/11/24 16:18,S1_S2,west,133000,HOBO sensors accidentaly placed in Strips 3 & 4.
,5/17/24,5/17/24 13:31,5/17/24 19:09,S3_S4,east,95100,Did not use HOBOs. Seen I needed to water that very day.
,6/1/24,6/1/24 8:29,6/1/24 17:57,S3_S4,east,122900,Jerry placed hobos on Thursday.
,6/1/24,6/1/24 18:05,6/2/24 7:46,S1_S2,west,162500,Turned off morning of 6/2 @ 7:46am
,6/15/24,6/15/24 7:29,6/15/24 16:13,S3_S4,east,105000,HOBO sensors were used and collected.
,6/22/24,6/22/24 8:00,6/22/24 15:49,S1_S2,west,94200,HOBO sensors used and collected. Jerry placed and Michael collected.
,6/28/24,6/28/24 8:19,6/28/24 14:44,S3_S4,east,79300,HOBO sensors used and collected. Michael placed and collected.
,7/11/24,7/11/24 10:01,7/11/24 17:39,S3_S4,east,93100,"Jerry and I removed 6"" sensor from S4B on Friday afternoon. Will replace sensor on 7/13/24."
,7/20/24,7/20/24 8:54,7/20/24 17:43,S1_S2,west,111100,
,7/26/24,7/26/24 19:02,7/27/24 7:21,S3_S4,east,143700,Watered overnight.
,8/9/24,8/9/24 8:45,8/9/24 15:50,S3_S4,east,93800,
,8/10/24,8/10/24 8:50,8/10/24 20:38,S1_S2,west,169400,
,8/23/24,8/23/24 9:32,8/23/24 15:04,S3_S4,east,60300,
,9/6/24,9/6/24 9:33,9/6/24 16:29,S3_S4,east,97900,
,9/7/24,9/7/24 8:23,9/7/24 16:16,S1_S2,west,106000,
,9/20/24,9/20/24 14:27,9/20/24 17:52,S3_S4,east,32900,Had issues with linear which forced me to interupt watering session.
,10/4/24,10/4/24 11:55,10/4/24 18:02,S3_S4,east,94400,
,10/18/24,10/18/24 9:34,10/18/24 17:17,S3_S4,east,107100,"Performed surface runoff test with acclima sensors. Loggers did not log data, so no results."
,4/20/25,4/20/25 8:15,4/21/25 6:28,S1_S2,west,264600,RAN OVERNIGHT. FLOW METER AT 400GPM.
,4/20/25,4/20/25 8:15,4/21/25 6:28,S3_S4,east,264600,RAN OVERNIGHT. FLOW METER AT 400GPM.
,5/3/25,5/2/25 19:10,5/3/25 8:21,S3_S4,east,153500,STARTED FRIDAY EVENING RAN OVERNIGHT.
,5/17/25,5/17/25 15:36,5/18/25 7:37,S1_S2,west,184900,STARTED FRIDAY EVENING RAN OVERNIGHT.
,5/28/25,5/28/25 18:58,5/29/25 7:30,S1_S2,west,128500,WATERED OVERNIGHT.
,5/28/25,5/28/25 18:58,5/29/25 7:30,S3_S4,east,128500,WATERED OVERNIGHT.
,6/13/25,6/13/25 10:49,6/13/25 19:16,S3_S4,east,113800,STAFF TURNED ON VALVE TEMPORARILY WHEN REPAIRING A NEARBY VALVE: REASON FOR METER DISCREPANCY.
,6/27/25,6/27/25 15:33,6/28/25 7:49,S1_S2,west,191000,
,6/28/25,6/28/25 8:50,6/28/25 16:15,S3_S4,east,87100,
,7/11/25,7/11/25 8:30,7/11/25 18:12,S3_S4,east,92800,
,7/26/25,7/26/25 8:45,7/26/25 17:50,S1_S2,west,106450,
,7/26/25,7/26/25 8:45,7/26/25 17:50,S3_S4,east,106450,
,8/8/25,8/8/25 13:14,8/8/25 19:28,S3_S4,east,77500,
,8/22/25,8/22/25 9:07,8/22/25 19:04,S1_S2,west,61250,TURNED OFF FROM APX. 9:45AM - 11AM FOR SYSTEM REPAIRS.
,8/22/25,8/22/25 9:07,8/22/25 19:04,S3_S4,east,61250,TURNED OFF FROM APX. 9:45AM - 11AM FOR SYSTEM REPAIRS.
,9/20/25,9/20/25 10:42,9/20/25 17:31,S1_S2,west,172200,WATERED AT THE SAME TIME.
,9/20/25,9/20/25 10:42,9/20/25 17:31,S3_S4,east,172200,WATERED AT THE SAME TIME.
,10/4/25,10/4/25 10:12,10/4/25 17:06,S3_S4,east,103600,