irrig_start,irrig_end,location,gallons,DATE,,,,,METER GAL. START (GAL. X 100),METER GAL. END (GAL. X 100),GAL. USED (X 100),STRIP I.D.,location_src
4/19/24 14:14,4/19/24 21:33,east,109750,"Friday, April 19, 2024",2:14:00 PM,9:33:00 PM,4/19/24 14:14,4/19/24 21:33,180455,180455,109750,3 & 4,east
4/20/24 10:11,4/20/24 17:54,west,125900,"Saturday, April 20, 2024",10:11:00 AM,5:54:00 PM,4/20/24 10:11,4/20/24 17:54,180455,181714,125900,1 & 2,west
5/3/24 8:37,5/3/24 15:28,east,89200,"Friday, May 3, 2024",8:37:00 AM,3:28:00 PM,5/3/24 8:37,5/3/24 15:28,181716,182608,89200,3 & 4,east
5/11/24 6:55,5/11/24 16:18,west,133000,"Saturday, May 11, 2024",6:55:00 AM,4:18:00 PM,5/11/24 6:55,5/11/24 16:18,182609,183939,133000,1 & 2,west
5/17/24 13:31,5/17/24 19:09,east,95100,"Friday, May 17, 2024",1:31:00 PM,7:09:00 PM,5/17/24 13:31,5/17/24 19:09,183943,184894,95100,3 & 4,east
6/1/24 8:29,6/1/24 17:57,east,122900,"Saturday, June 1, 2024",8:29:00 AM,5:57:00 PM,6/1/24 8:29,6/1/24 17:57,184900,186129,122900,3 & 4,east
6/1/24 18:05,6/1/24 7:46,west,162500,"Saturday, June 1, 2024",6:05:00 PM,7:46:00 AM,6/1/24 18:05,6/1/24 7:46,186135,187760,162500,1 & 2,west
6/15/24 7:29,6/15/24 16:13,east,105000,"Saturday, June 15, 2024",7:29:00 AM,4:13:00 PM,6/15/24 7:29,6/15/24 16:13,187764,188814,105000,3 & 4,east
6/22/24 8:00,6/22/24 15:49,west,94200,"Saturday, June 22, 2024",8:00:00 AM,3:49:00 PM,6/22/24 8:00,6/22/24 15:49,188814,189756,94200,1 & 2,west
6/28/24 8:19,6/28/24 14:44,east,79300,"Friday, June 28, 2024",8:19:00 AM,2:44:00 PM,6/28/24 8:19,6/28/24 14:44,189759,190552,79300,3 & 4,east
7/11/24 10:01,7/11/24 17:39,east,93100,"Thursday, July 11, 2024",10:01:00 AM,5:39:00 PM,7/11/24 10:01,7/11/24 17:39,190554,191485,93100,3 & 4,east
7/20/24 8:54,7/20/24 17:43,west,111100,"Saturday, July 20, 2024",8:54:00 AM,5:43:00 PM,7/20/24 8:54,7/20/24 17:43,191486,192597,111100,1 & 2,west
7/26/24 19:02,7/26/24 7:21,east,143700,"Friday, July 26, 2024",7:02:00 PM,7:21:00 AM,7/26/24 19:02,7/26/24 7:21,192599,194036,143700,3 & 4,east
8/9/24 8:45,8/9/24 15:50,east,93800,"Friday, August 9, 2024",8:45:00 AM,3:50:00 PM,8/9/24 8:45,8/9/24 15:50,194037,194975,93800,3 & 4,east
8/10/24 8:50,8/10/24 20:38,west,169400,"Saturday, August 10, 2024",8:50:00 AM,8:38:00 PM,8/10/24 8:50,8/10/24 20:38,194979,196673,169400,1 & 2,west
8/23/24 9:32,8/23/24 15:04,east,60300,"Friday, August 23, 2024",9:32:00 AM,3:04:00 PM,8/23/24 9:32,8/23/24 15:04,196675,197278,60300,3 & 4,east
9/6/24 9:33,9/6/24 16:29,east,97900,"Friday, September 6, 2024",9:33:00 AM,4:29:00 PM,9/6/24 9:33,9/6/24 16:29,197279,198258,97900,3 & 4,east
9/7/24 8:23,9/7/24 16:16,west,106000,"Saturday, September 7, 2024",8:23:00 AM,4:16:00 PM,9/7/24 8:23,9/7/24 16:16,198259,199319,106000,1 & 2,west
9/20/24 14:27,9/20/24 17:52,east,32900,"Friday, September 20, 2024",2:27:00 PM,5:52:00 PM,9/20/24 14:27,9/20/24 17:52,199324,199653,32900,3 & 4,east
9/28/24 0:00,9/28/24 0:00,west,0,"Saturday, September 28, 2024",,,9/28/24 0:00,9/28/24 0:00,,,0,1 & 2,west
10/4/24 11:55,10/4/24 18:02,east,94400,"Friday, October 4, 2024",,,10/4/24 0:00,10/4/24 0:00,,,,3 & 4,east
10/18/24 9:34,10/18/24 17:00,east,107100,"Friday, October 18, 2024",,,10/18/24 0:00,10/18/24 0:00,,,,3 & 4,east